Parent Company,Short name parent,Short name operating,Operating Company,Company Name,2019 Coal,2019 Gas,2019 Coal + Gas,2019 Coal + Gas (MW),2020-2030 Clean,Clean vs. fossil score,Solar capacity,Wind capacity,Coal retirements (million MWh),Percentage of coal committed to retire,Planned Gas by 2030 (MW),Score,Clean energy data source,Energy efficiency - residential customers,Energy efficiency - commercial customers,Energy efficiency - industrial customers,Sales - residential,Sales - commercial,Sales - industrial,Letter Grade,Full Climate Goal (only one per parent)
Seminole Electric Cooperative Inc.,Seminole Coop,Seminole Coop,Seminole Electric Cooperative Inc.,Seminole Electric Coop, 7.1 , 3.7 , 10.8 ," 2,176.0 ", -   ,0%, -   , -   , -   ,0%," 1,096.2 ",0%,No additional clean energy planned, -   , -   , -   , -   , -   , -   , F ,Reduce the amount of carbon emitted (per megawatt-hour) by 62% by 2035 (2005 baseline) and by 90% by fiscal year 2050. Reduce carbon emissions from facilities by 30% on a mass basis.
South Carolina Public Service Authority,SCPSA,SCPSA,South Carolina Public Service Authority,Santee Cooper, 9.1 , 5.6 , 14.7 ," 4,685.0 ", 3.3 ,22%," 1,500 ", -   , -   ,0%, -   ,11%,2019 reform plan," 3,864 "," 13,688 ", -   ," 1,879,009 "," 2,004,013 "," 4,435,182 ", F ,No goal.
Southern Company,SOCO,AL Power,Alabama Power Company,Alabama Power, 26.9 , 16.3 , 43.2 ," 10,179.0 ", 0.8 ,2%, 400 , -   , 1.8 ,7%," 1,452.0 ",0%,Company announcement," 5,486 ", 192 , 40 ," 18,264,230 "," 13,740,331 "," 22,147,839 ", F ,No goal.
Southern Company,SOCO,GA Power,Georgia Power Company,Georgia Power, 15.8 , 31.2 , 47.0 ," 12,296.6 ", 8.0 ,17%," 4,010 ", -   , 1.4 ,9%, -   ,13%,2019 IRP; company RFP," 95,124 "," 295,968 ", -   ," 28,201,080 "," 33,172,027 "," 23,162,795 ", F ,Reduce carbon emissions 50% by 2030 (2007 baseline); net-zero by 2050.
Southern Company,SOCO,MS Power,Mississippi Power Company,Mississippi Power, 1.0 , 17.2 , 18.3 ," 3,539.9 ", -   ,0%, -   , -   , -   ,0%, -   ,0%,No additional clean energy planned," 10,004 "," 10,150 "," 1,382 "," 2,062,382 "," 2,750,875 "," 4,795,021 ", F ,Carbon emissions reduction of 50% by 2030 (2007 baseline); net-zero by 2050.
Tennessee Valley Authority,TVA,TVA,Tennessee Valley Authority,Tennessee Valley Authority (TVA), 27.1 , 36.5 , 63.6 ," 21,705.7 ", 11.4 ,18%," 5,244 ", 200 , 4.6 ,17%," 3,748.0 ",9%,2019 IRP, -   , -   , -   , -   , -   , -   , F ,Carbon emissions reduction of 50% by 2030 (2007 baseline); net-zero by 2050.
"Tri-State Generation & Transmission Association, Inc.",Tri-State,Tri-State,"Tri-State Generation & Transmission Association, Inc.",Tri-State, 9.6 , 5.6 , 15.2 ," 2,732.0 ", 2.2 ,15%, 515 , 334 , 5.4 ,56%, -   ,36%,Company announcement, -   , -   , -   , -   , -   , -   , C ,Reduce carbon emissions by 60% by 2020 and 70% by 2030 (2005 baseline).
"WEC Energy Group, Inc.",WEC,We Energies,Wisconsin Electric Power Company,We Energies, 10.4 , 8.4 , 18.8 ," 5,093.9 ", 1.4 ,8%, 400 , 255 , 4.0 ,39%, -   ,23%,Company announcement, -   , -   , -   ," 7,818,084 "," 8,839,360 "," 7,221,782 ", D ,Reduce carbon emissions by 90% by 2030 from Colorado facilities it owns or operates (2005 baseline).
"WEC Energy Group, Inc.",WEC,WPS,Wisconsin Public Service Corporation,Wisconsin Public Service (WPS), 4.9 , 4.5 , 9.4 ," 2,350.8 ", 0.9 ,9%, 500 , -   , -   ,0%, 100.0 ,3%,Company announcement, -   , -   , -   ," 2,868,978 "," 4,011,727 "," 3,877,612 ", F ,Reduce carbon emissions 70% by 2030 (2005 baseline); net-carbon neutral by 2050.
Xcel Energy Inc.,Xcel,Xcel-MN,Northern States Power Company - MN,Xcel Minnesota, 10.6 , 8.5 , 19.1 ," 5,231.8 ", 10.0 ,52%," 4,015 "," 1,000 ", 10.6 ,100%," 1,000.0 ",67%,2019-2020 IRP," 181,343 "," 277,024 "," 40,504 "," 10,106,085 "," 15,026,328 "," 8,389,500 ", B ,Reduce carbon emissions 70% by 2030 (2005 baseline); net-carbon neutral by 2050.
Xcel Energy Inc.,Xcel,Xcel-CO,Public Service Company of Colorado,Xcel Colorado, 11.3 , 10.9 , 22.3 ," 5,047.7 ", 5.2 ,23%, 700 ," 1,100 ", 4.3 ,38%, -   ,31%,Colorado Energy Plan," 240,635 "," 306,233 "," 48,586 "," 9,446,626 "," 13,178,829 "," 6,417,592 ", D ,Reduce company-wide carbon emissions 80% by 2030 (2005 baseline); 100% carbon-free electricity by 2050.
Xcel Energy Inc.,Xcel,Xcel-TX,Southwestern Public Service Company,Xcel Texas / New Mexico, 6.5 , 7.2 , 13.7 ," 4,450.0 ", 1.7 ,13%, -   , 522 , 3.7 ,58%," 1,080.0 ",23%,2018 IRP," 35,691 "," 16,339 "," 10,633 "," 3,656,214 "," 5,657,646 "," 11,713,200 ", D ,Reduce company-wide carbon emissions 80% by 2030 (2005 baseline); 100% carbon-free electricity by 2050.
Lower Colorado River Authority,LCRA,LCRA,GenTex Power Corporation,Lower Colorado River Authority, -   , 1.2 , 1.2 , 270.0 , -   ,0%, -   , -   , -   ,NA, -   ,50%,, -   , -   , -   , -   , -   , -   , C ,Reduce company-wide carbon emissions 80% by 2030 (2005 baseline); 100% carbon-free electricity by 2050.
"Evergy, Inc.",Evergy,Evergy-KPL,"Westar Generating, Inc.",Westar Energy / KPL, -   , 1.0 , 1.0 , 198.0 , -   ,0%, -   , -   , -   ,NA, -   ,50%,, -   , -   , -   , -   , -   , -   , C ,
Entergy Corporation,Entergy,Entergy-AR,"Entergy Power, LLC",Entergy Arkansas, 0.4 , -   , 0.4 , 117.9 , -   ,0%, -   , -   , 0.4 ,100%, -   ,50%,, -   , -   , -   , -   , -   , -   , C ,
Fortis Inc.,TEP,TEP,"UNS Electric, Inc.",Tucson Electric Power (TEP), -   , 0.7 , 0.7 , 293.9 , -   ,0%, -   , -   , -   ,NA, -   ,50%,, -   , -   , -   , -   , -   , -   , C ,
DTE Energy Company,DTE,DTE,"DTE Energy Services, Inc.",DTE Electric, 0.0 , 0.2 , 0.2 , 182.5 , -   ,0%, -   , -   , -   ,NA, -   ,0%,, -   , -   , -   , -   , -   , -   , F ,
Entergy Corporation,Entergy,Entergy-LA,Entergy Power Gas Operations,Entergy Louisiana, 0.2 , -   , 0.2 , 60.0 , -   ,0%, -   , -   , -   ,0%, -   ,0%,, -   , -   , -   , -   , -   , -   , F ,
Xcel Energy Inc.,Xcel,Xcel-MN,Northern States Power Company - WI,Xcel Minnesota, 0.1 , 0.2 , 0.3 , 316.0 , -   ,0%, -   , -   , -   ,NA, -   ,0%,, -   , -   , -   , -   , -   , -   , F ,
"Centerpoint Energy, Inc.",CNP,Vectren,Southern Indiana Gas and Electric Company,Vectren, 4.2 , 0.0 , 4.3 ," 1,303.4 ", 2.8 ,66%, 900 , 300 , 3.0 ,70%, 461.0 ,50%,2019-2020 IRP," 27,011 "," 15,734 "," 7,404 "," 1,409,212 "," 1,221,800 "," 2,072,912 ", B ,
